"Symbol","Data","Cap","Float"
"BANC","Y",913.55,47.13
"BAP","Y",12730,67.11
"BAX","Y",43380,504.41
"BB","Y",4910,555.29
"BBAR","Y",836.1,69.23
"BBD","Y",37480,6340
"BBDC","Y",674.06,51.08
"BBDO","Y",NA,NA
"BBF","Y",NA,NA
"BBK","Y",NA,NA
"BBL","Y",173810,1040
"BBN","Y",1420,NA
"BBU","Y",3170,NA
"BBVA","Y",35590,6570
"BBW","Y",131.76,13.32
"BBY","Y",29570,229.43
"BC","Y",8000,77.25
"BCC","Y",2620,38.81
"BCE","Y",41970,904.01
"BCEI","Y",698.53,20.38
"BCH","Y",12290,384.32
"BCO","Y",3900,48.89
"BCS","Y",43230,4250
"BCSF","Y",1020,52.45
"BCX","Y",822.39,NA
"BC","Y",8000,77.25
"BDC","Y",1940,43.68
"BDJ","Y",1840,NA
"BDN","Y",2250,168.09
"BDX","Y",74350,288.64
"BE","Y",3580,132.31
"BEDU","Y",697.2,20.04
"BEN","Y",15270,288.52
"BEP","Y",11410,205.91
"BERY","Y",8430,131.51
"BEST","Y",545.63,58.58
"BFAM","Y",9960,59.9
"BFK","Y",671.76,NA
"BFS","Y",956.82,12.91
"BFY","Y",NA,NA
"BFZ","Y",456.65,NA
"BG","Y",11340,134.51
"BGB","Y",599.4,NA
"BGH","Y",328.05,NA
"BGIO","Y",205.97,NA
"BGR","Y",249.46,NA
"BGS","Y",1940,62.73
"BGSF","Y",139.27,10.01
"BGT","Y",281.72,NA
"BGX","Y",182.74,NA
"BGY","Y",653.93,NA
"BH","Y",424.34,0.23
"BHC","Y",10450,347.91
"BHE","Y",1080,35.9
"BHK","Y",836.53,NA
"BHLB","Y",1120,48.34
"BHP","Y",173730,1470
"BHR","Y",235.62,27.38
"BHV","Y",27.14,NA
"BHVN","Y",4650,49.54
"BIF","Y",1300,NA
"BIG","Y",2270,33.1
"BILL","Y",12890,78.31
"BIO","Y",18630,21.38
"BIP","Y",22750,285.54
"BIT","Y",689.57,NA
"BJ","Y",6030,133.75
"BK","Y",42780,874.75
"BKD","Y",1200,179.37
"BKE","Y",2100,29.43
"BKH","Y",4410,62.27
"BKI","Y",11470,151.9
"BKN","Y",316.28,NA
"BKR","Y",20640,684.71
"BKT","Y",388.52,NA
"BKU","Y",4050,92.09
"BK","Y",42780,874.75
"BLD","Y",7550,32.59
"BLE","Y",355.25,NA
"BLK","Y",124780,150.67
"BLL","Y",29670,325.12
"BLW","Y",605.9,NA
"BLX","Y",451.87,21.85
"BMA","Y",1310,26.28
"BME","Y",560.86,NA
"BMI","Y",2820,28.83
"BMO","Y",58670,642.65
"BMY","Y",144260,2210
"BNED","Y",343.42,34.39
"BNS","Y",74230,1210
"BNY","Y",188.15,NA
"BOE","Y",779.78,NA
"BOH","Y",3630,39.33
"BOOT","Y",1930,28.9
"BORR","Y",264.5,196.5
"BOX","Y",3440,153.98
"BP","Y",85530,3350
"BPMP","Y",1350,47.75
"BPT","Y",72.09,21.4
"BR","Y",17890,114.84
"BRBR","Y",941.9,39.36
"BRC","Y",2880,46.54
"BRFS","Y",3590,797.05
"BRMK","Y",1420,125.84
"BRO","Y",13860,237.11
"BRT","Y",312.58,13.6
"BRX","Y",6210,295.35
"BSAC","Y",12110,154.63
"BSBR","Y",25580,3730
"BSD","Y",NA,NA
"BSE","Y",NA,NA
"BSIG","Y",1900,78.95
"BSL","Y",217.39,NA
"BSM","Y",2050,148.18
"BSMX","Y",7710,664.01
"BST","Y",1460,NA
"BSTZ","Y",3020,NA
"BSX","Y",58000,1400
"BTA","Y",174.42,NA
"BTI","Y",87240,2280
"BTO","Y",722.93,NA
"BTT","Y",1820,NA
"BTU","Y",385.38,96.12
"BTZ","Y",1370,NA
"BUD","Y",115550,520.37
"BUI","Y",476.84,NA
"BURL","Y",21350,65.39
"BV","Y",1930,52.38
"BVN","Y",2550,251.45
"BW","Y",609.18,83.13
"BWA","Y",11530,237.68
"BWG","Y",204.86,NA
"BWXT","Y",6390,95.03
"BX","Y",95600,659.29
"BXC","Y",439.98,9.1
"BXG","Y",755.14,5.09
"BXMT","Y",4710,NA
"BXMX","Y",1460,NA
"BXP","Y",16570,155.44
"BXS","Y",3230,87.47
"BY","Y",842.06,23.53
"BYD","Y",7090,81
"BYM","Y",414.05,NA
"BZH","Y",644.28,29.71
"BZM","Y",31.24,NA
"C","Y",150700,2080
"CAAP","Y",788.36,28.57
"CABO","Y",10900,5.43
"CACI","Y",6540,24.75
"CADE","Y",2800,121.83
"CAE","Y",8380,282.38
"CAF","Y",497.59,NA
"CAG","Y",18180,475.15
"CAH","Y",17850,293.15
"CAI","Y",776.14,16.44
"CAJ","Y",31950,1030
"CAL","Y",872.18,36.21
"CALX","Y",2630,53.01
"CANG","Y",1050,25.4
"CAPL","Y",747.51,19.23
"CARS","Y",923.09,66.4
"CAT","Y",126270,542.24
"CATO","Y",289.26,18.05
"CB","Y",72420,449.44
"CBB","Y",784.06,49.72
"CBD","Y",1720,157.88
"CBH","Y",188.98,NA
"CBRE","Y",27680,333.1
"CBT","Y",3060,56.2
"CBU","Y",4160,52.82
"CBZ","Y",1800,51.88
"CC","Y",4910,163.51
"CCEP","Y",24930,199.76
"CCI","Y",78040,429.09
"CCJ","Y",6500,395.54
"CCK","Y",14580,132.06
"CCL","Y",30080,844.61
"CCM","Y",152.49,13.58
"CCO","Y",922.49,463.65
"CCS","Y",2150,29.34
"CCU","Y",3540,73.9
