"Symbol","Security.Name","Data","Cap","Float"
"CVGW","Calavo Growers, Inc. - Common Stock","Y",1380,16.35
"CVLG","Covenant Logistics Group, Inc. - Class A Common Stock","Y",340.52,11.33
"CVLT","Commvault Systems, Inc. - Common Stock","Y",3270,46.09
"CVLY","Codorus Valley Bancorp, Inc - Common Stock","Y",176.38,9.42
"CVV","CVD Equipment Corporation - Common Stock","Y",28.54,5.37
"CWBC","Community West Bancshares - Common Stock","Y",108.33,5.71
"CWBR","CohBar, Inc. - Common Stock","Y",71.02,43.48
"CWCO","Consolidated Water Co. Ltd. - Ordinary Shares","Y",201.65,14.34
"CWST","Casella Waste Systems, Inc. - Class A Common Stock","Y",3440,49.05
"CXDC","China XD Plastics Company Limited - Common Stock","Y",75.5,34.67
"CXDO","Crexendo, Inc. - Common Stock","Y",113.56,7.31
"CYAD","Celyad SA - American Depositary Shares","Y",NA,NA
"CYAN","Cyanotech Corporation - Common Stock","Y",18.51,3.61
"CYBE","CyberOptics Corporation - Common Stock","Y",203.65,6.97
"CYBR","CyberArk Software Ltd. - Ordinary Shares","Y",5760,38.32
"CYCC","Cyclacel Pharmaceuticals, Inc. - Common Stock","Y",54.56,5.74
"CYCCP","Cyclacel Pharmaceuticals, Inc. - 6% Convertible Preferred Stock","Y",NA,NA
"CYCN","Cyclerion Therapeutics, Inc. - Common Stock ","Y",80.14,28.81
"CYRN","CYREN Ltd. - Ordinary Shares","Y",50.98,26.7
"CYRX","CryoPort, Inc. - Common Stock","Y",2360,44.81
"CYTK","Cytokinetics, Incorporated - Common Stock","Y",1780,63.82
"CZNC","Citizens & Northern Corp - Common Stock","Y",380.62,15.4
"CZR","Caesars Entertainment, Inc. - Common Stock","Y",18390,198.37
"CZWI","Citizens Community Bancorp, Inc. - Common Stock","Y",161.81,10.52
"DADA","Dada Nexus Limited - American Depositary Shares","Y",5490,65.2
"DAIO","Data I/O Corporation - Common Stock","Y",45.71,7.57
"DAKT","Daktronics, Inc. - Common Stock","Y",287.7,36.87
"DARE","Dare Bioscience, Inc. - Common Stock","Y",66.48,45.65
"DBVT","DBV Technologies S.A. - American Depositary Shares","Y",656.32,62.43
"DBX","Dropbox, Inc. - Class A Common Stock","Y",10520,298.63
"DCOM","Dime Community Bancshares, Inc. - Common Stock","Y",1340,17.68
"DCOMP","Dime Community Bancshares, Inc. - 5.50% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series A","Y",NA,NA
"DCPH","Deciphera Pharmaceuticals, Inc. - Common Stock","Y",2620,41
"DCT","Duck Creek Technologies, Inc. - Common Stock","Y",5510,94.49
"DCTH","Delcath Systems, Inc. - Common Stock","Y",75.33,5.02
"DDOG","Datadog, Inc. - Class A Common Stock","Y",28410,204.22
"DENN","Denny's Corporation - Common Stock","Y",1120,61.7
"DFFN","Diffusion Pharmaceuticals Inc. - Common Stock","Y",66.09,101.72
"DFHT","Deerfield Healthcare Technology Acquisitions Corp. - Class A Common Stock","Y",NA,NA
"DFPH","DFP Healthcare Acquisitions Corp. - Class A Common Stock","Y",NA,NA
"DGICA","Donegal Group, Inc. - Class A Common Stock","Y",486.52,28.34
"DGICB","Donegal Group, Inc. - Class B Common Stock","Y",NA,NA
"DGII","Digi International Inc. - Common Stock","Y",607.95,29.11
"DGLY","Digital Ally, Inc. - Common Stock","Y",94.45,47.61
"DHC","Diversified Healthcare Trust  - Common Shares of Beneficial Interest","Y",1120,235.2
"DHCNI","Diversified Healthcare Trust  - 5.625% Senior Notes due 2042","Y",NA,NA
"DHCNL","Diversified Healthcare Trust  - 6.25% Senior Notes Due 2046","Y",NA,NA
"DHIL","Diamond Hill Investment Group, Inc. - Class A Common Stock","Y",515.26,3.01
"DIOD","Diodes Incorporated - Common Stock","Y",3520,43
"DISCA","Discovery, Inc. - Series A Common Stock","Y",16700,467.03
"DISCB","Discovery, Inc. - Series B Common Stock","Y",NA,NA
"DISCK","Discovery, Inc. - Series C Common Stock","Y",NA,447.35
"DISH","DISH Network Corporation - Class A Common Stock","Y",19310,246.7
"DJCO","Daily Journal Corp. (S.C.) - Common Stock","Y",438.49,1.07
"DKNG","DraftKings Inc. - Class A Common Stock","Y",22350,328.37
"DLHC","DLH Holdings Corp. - Common Stock","Y",129.85,10.16
"DLPN","Dolphin Entertainment, Inc. - Common Stock","Y",52.73,4.87
"DLTH","Duluth Holdings Inc. - Class B Common Stock","Y",516.08,19.87
"DLTR","Dollar Tree, Inc. - Common Stock","Y",27220,232.07
"DMAC","DiaMedica Therapeutics Inc. - Common Stock","Y",183.4,17.46
"DMLP","Dorchester Minerals, L.P. - Common Units Representing Limited Partnership Interests","Y",498.41,31.54
"DMRC","Digimarc Corporation - Common Stock","Y",591.67,11.18
"DMTK","DermTech, Inc. - Common Stock","Y",1020,19.6
"DNKN","Dunkin' Brands Group, Inc. - Common Stock","Y",NA,NA
"DNLI","Denali Therapeutics Inc. - Common Stock","Y",6660,98.8
"DOCU","DocuSign, Inc. - Common Stock","Y",43680,183.46
"DOGZ","Dogness (International) Corporation - Class A Common Stock","Y",47.22,20.31
"DOMO","Domo, Inc. - Class B Common Stock","Y",1910,26.38
"DOOO","BRP Inc. - Common Subordinate Voting Shares","Y",3700,39.63
"DORM","Dorman Products, Inc. - Common Stock","Y",3440,26.59
"DOX","Amdocs Limited - Ordinary Shares","Y",9920,129
"DOYU","DouYu International Holdings Limited - American Depositary Shares","Y",3120,314.31
"DRAD","Digirad Corporation - Common Stock","Y",NA,NA
"DRADP","Digirad Corporation - Series A Cumulative Perpetual Preferred Stock","Y",NA,NA
"DRIO","DarioHealth Corp. - Common Stock","Y",280.33,5.46
"DRNA","Dicerna Pharmaceuticals, Inc. - Common Stock","Y",2190,68.74
"DRRX","DURECT Corporation - Common Stock","Y",390.06,206.09
"DRTT","DIRTT Environmental Solutions Ltd. - Common Shares","Y",255.74,36.79
"DSGX","The Descartes Systems Group Inc. - Common Stock","Y",5460,84.43
"DSKE","Daseke, Inc. - Common Stock","Y",507.71,42.57
"DSPG","DSP Group, Inc. - Common Stock","Y",338.76,21.57
"DSWL","Deswell Industries, Inc. - Common Shares","Y",59.87,5.45
"DTEA","DAVIDsTEA Inc. - Common Stock","Y",80.43,14.2
"DTIL","Precision BioSciences, Inc. - Common Stock","Y",473.49,44.8
"DTSS","Datasea Inc. - Common Stock","Y",58.81,6.47
"DUO","Fangdd Network Group Ltd. - American Depositary Shares","Y",403.17,47.65
"DUOT","Duos Technologies Group, Inc. - Common Stock","Y",31.08,2.43
"DVAX","Dynavax Technologies Corporation - Common Stock","Y",1220,109.38
"DWSN","Dawson Geophysical Company - Common Stock","Y",55.87,21.74
"DXCM","DexCom, Inc. - Common Stock","Y",37960,95.78
"DXLG","Destination XL Group, Inc. - Common Stock","Y",NA,NA
"DXPE","DXP Enterprises, Inc. - Common Stock","Y",565.15,16.31
"DXYN","The Dixie Group, Inc. - Common Stock","Y",53.07,13.19
"DYAI","Dyadic International, Inc. - Common Stock","Y",135.8,19.17
"DYN","Dyne Therapeutics, Inc. - Common Stock","Y",924.4,21.21
"DYNT","Dynatronics Corporation - Common Stock","Y",16.61,10.8
"DZSI","DZS Inc. - Common Stock","Y",399.86,15.63
"EA","Electronic Arts Inc. - Common Stock","Y",40650,286.22
"EAR","Eargo, Inc. - Common Stock","Y",1850,37.67
"EARS","Auris Medical Holding Ltd. - Common Shares","Y",44.38,12.2
"EAST","Eastside Distilling, Inc. - Common Stock","Y",18.5,8.59
"EBAY","eBay Inc. - Common Stock","Y",43020,655.07
"EBAYL","eBay Inc. - 6.0% Notes Due 2056","Y",NA,NA
"EBC","Eastern Bankshares, Inc. - Common Stock","Y",3690,170.29
"EBIX","Ebix, Inc. - Common Stock","Y",909.24,25.14
"EBMT","Eagle Bancorp Montana, Inc. - Common Stock","Y",159.67,6.28
"EBON","Ebang International Holdings Inc. - Class A Ordinary Shares","Y",602.78,85.89
"EBSB","Meridian Bancorp, Inc. - Common Stock","Y",960.82,47.05
"EBTC","Enterprise Bancorp Inc - Common Stock","Y",405.16,9.21
"ECHO","Echo Global Logistics, Inc. - Common Stock","Y",862.56,25.96
"ECOL","US Ecology, Inc. - Common Stock","Y",1330,31.2
"ECOR","electroCore, Inc. - Common Stock","Y",88.15,31.92
"ECPG","Encore Capital Group Inc - Common Stock","Y",1180,29.93
"EDAP","EDAP TMS S.A. - American Depositary Shares, each representing One Ordinary Share","Y",247.64,12.45
"EDIT","Editas Medicine, Inc. - Common Stock","Y",2720,66.37
"EDNT","Edison Nation, Inc. - Common Stock","Y",NA,NA
"EDRY","EuroDry Ltd. - Common Shares","Y",20,1.05
"EDSA","Edesa Biotech, Inc. - Common Shares","Y",70.95,6.46
"EDTK","Skillful Craftsman Education Technology Limited - Ordinary Share","Y",30.16,7.05
"EDUC","Educational Development Corporation - Common Stock","Y",141.92,6.09
"EEFT","Euronet Worldwide, Inc. - Common Stock","Y",7800,50.11
"EFOI","Energy Focus, Inc. - Common Stock","Y",13.57,2.96
"EFSC","Enterprise Financial Services Corporation - Common Stock","Y",1550,28.72
"EGAN","eGain Corporation - Common Stock","Y",302.98,20.65
"EGBN","Eagle Bancorp, Inc. - Common Stock","Y",1720,29.57
"EGLE","Eagle Bulk Shipping Inc. - Common Stock","Y",484.15,9.14
"EGOV","NIC Inc. - Common Stock","Y",2310,66.36
"EGRX","Eagle Pharmaceuticals, Inc. - Common Stock","Y",563.86,10.12
"EH","EHang Holdings Limited - ADS","Y",1410,31.68
"EHTH","eHealth, Inc. - Common Stock","Y",1780,24.79
"EIDX","Eidos Therapeutics, Inc. - Common Stock","Y",NA,NA
"EIGI","Endurance International Group Holdings, Inc. - Common Stock","Y",NA,NA
"EIGR","Eiger BioPharmaceuticals, Inc. - Common Stock","Y",275.51,31.98
"EKSO","Ekso Bionics Holdings, Inc. - Common Stock","Y",69.41,11.07
"ELOX","Eloxx Pharmaceuticals, Inc. - Common Stock","Y",100.51,35.67
"ELSE","Electro-Sensors, Inc. - Common Stock","Y",13.44,2.23
"ELTK","Eltek Ltd. - Ordinary Shares","Y",32.87,1.3
"EMCF","Emclaire Financial Corp - Common Stock","Y",73.85,2.21
"EMKR","EMCORE Corporation - Common Stock","Y",235.19,25.37
"EML","Eastern Company (The) - Common Stock","Y",157.19,5.91
"ENDP","Endo International plc - Ordinary Shares","Y",1310,227.03
"ENG","ENGlobal Corporation - Common Stock","Y",94.33,12.65
"ENLV","Enlivex Therapeutics Ltd. - Ordinary Shares","Y",171.46,9.83
"ENOB","Enochian Biosciences, Inc. - Common Stock","Y",148.16,14.64
"ENPH","Enphase Energy, Inc. - Common Stock","Y",18600,115.25
"ENSG","The Ensign Group, Inc. - Common Stock","Y",4890,51.58
"ENTA","Enanta Pharmaceuticals, Inc. - Common Stock","Y",1030,17.86
"ENTG","Entegris, Inc. - Common Stock","Y",15550,133.61
"ENTX","Entera Bio Ltd. - Ordinary Shares","Y",76.73,13.55
"EOLS","Evolus, Inc. - Common Stock","Y",477.16,21.69
"EPAY","Bottomline Technologies, Inc. - Common Stock","Y",2170,43.88
"EPIX","ESSA Pharma Inc. - Common Stock","Y",1010,32.73
"EPSN","Epsilon Energy Ltd. - Common Shares","Y",93.54,23.23
"EPZM","Epizyme, Inc. - Common Stock","Y",799.9,82.71
"EQ","Equillium, Inc. - Common Stock","Y",194.31,18.11
"EQBK","Equity Bancshares, Inc. - Class A Common Stock","Y",410.38,13.38
"EQIX","Equinix, Inc. - Common Stock","Y",65220,88.69
"EQOS","Diginex Limited - Ordinary Shares","Y",239.2,26.89
"ERES","East Resources Acquisition Company - Class A Common Stock","Y",NA,NA
"ERIC","Ericsson - American Depositary Shares each representing 1 underlying Class B share","Y",45250,3000
"ERIE","Erie Indemnity Company - Class A Common Stock","Y",10240,24.75
"ERII","Energy Recovery, Inc. - Common Stock","Y",1070,47.88
"ERYP","Erytech Pharma S.A. - American Depositary Shares","Y",155.21,14.18
"ESBK","Elmira Savings Bank NY (The) - Common Stock","Y",46.72,3.43
"ESCA","Escalade, Incorporated - Common Stock","Y",314.03,9.05
"ESEA","Euroseas Ltd. - Common Stock","Y",77.19,2.63
"ESGR","Enstar Group Limited - Ordinary Shares","Y",5660,15.07
"ESGRO","Enstar Group Limited - Depository Shares 7.00% Perpetual Non-Cumulative Preference Shares, Series E","Y",NA,NA
"ESGRP","Enstar Group Limited - Depositary Shares Each Representing 1/1000th of an interest in Preference Shares","Y",NA,NA
"ESLT","Elbit Systems Ltd. - Ordinary Shares","Y",6250,24.59
"ESPR","Esperion Therapeutics, Inc. - Common Stock","Y",751.84,26.11
"ESQ","Esquire Financial Holdings, Inc. - Common Stock","Y",172.75,6.57
"ESSA","ESSA Bancorp, Inc. - common stock","Y",175.15,9.2
"ESSC","East Stone Acquisition Corporation - Ordinary Shares","Y",NA,NA
"ESTA","Establishment Labs Holdings Inc. - Common Shares","Y",1650,20.28
"ESXB","Community Bankers Trust Corporation. - Common Stock","Y",186.71,21.42
"ETAC","E.Merge Technology Acquisition Corp. - Class A Common stock","Y",752.93,46.2
"ETNB","89bio, Inc. - Common Stock","Y",492.47,19.69
"ETON","Eton Pharmaceuticals, Inc. - Common Stock","Y",204.23,17.43
"ETSY","Etsy, Inc. - Common Stock","Y",26790,125.21
"ETTX","Entasis Therapeutics Holdings Inc. - Common Stock","Y",71.65,13.35
"EVBG","Everbridge, Inc. - Common Stock","Y",5070,32.1
"EVER","EverQuote, Inc. - Class A Common Stock","Y",1010,16.76
"EVFM","Evofem Biosciences, Inc. - Common Stock","Y",151.74,78.84
"EVGN","Evogene Ltd. - Ordinary Shares","Y",165.7,38.89
"EVK","Ever-Glory International Group, Inc. - Common Stock","Y",33.66,3.98
"EVLO","Evelo Biosciences, Inc. - Common Stock","Y",616.08,27
"EVOK","Evoke Pharma, Inc. - Common Stock","Y",49.59,31.38
"EVOL","Evolving Systems, Inc. - Common Stock","Y",29.28,8.7
"EVOP","EVO Payments, Inc. - Class A Common Stock","Y",2280,41.68
"EWBC","East West Bancorp, Inc. - Common Stock","Y",10410,140.52
"EXAS","Exact Sciences Corporation - Common Stock","Y",21640,167.52
"EXC","Exelon Corporation - Common Stock","Y",44070,972.98
"EXEL","Exelixis, Inc. - Common Stock","Y",7520,306.21
"EXFO","EXFO Inc - Subordinate Voting Shares","Y",212.45,21.2
"EXLS","ExlService Holdings, Inc. - Common Stock","Y",3170,32.81
"EXPC","Experience Investment Corp. - Class A Common Stock","Y",354.81,27.5
"EXPD","Expeditors International of Washington, Inc. - Common Stock","Y",18570,168.19
"EXPE","Expedia Group, Inc. - Common Stock","Y",24780,120.98
"EXPI","eXp World Holdings, Inc. - Common Stock","Y",5070,61.64
"EXPO","Exponent, Inc. - Common Stock","Y",5200,51.07
"EXTR","Extreme Networks, Inc. - Common Stock","Y",1180,121.09
"EYE","National Vision Holdings, Inc. - Common Stock","Y",3890,80.24
"EYEG","Eyegate Pharmaceuticals, Inc. - Common Stock","Y",30.93,4.35
"EYEN","Eyenovia, Inc. - Common Stock","Y",132.82,15.61
"EYES","Second Sight Medical Products, Inc. - Common Stock","Y",217.01,13.25
"EYPT","EyePoint Pharmaceuticals, Inc. - Common Stock","Y",267.04,19.89
"EZPW","EZCORP, Inc. - Class A Non-Voting Common Stock","Y",284.11,50.44
"FAMI","Farmmi, INC. - Ordinary Shares","Y",30.95,9.6
"FANG","Diamondback Energy, Inc. - Commmon Stock","Y",13480,156.67
"FANH","Fanhua Inc. - American depositary shares, each representing 20 ordinary shares","Y",895.66,39.32
"FARM","Farmer Brothers Company - Common Stock","Y",177.5,14.37
"FARO","FARO Technologies, Inc. - Common Stock","Y",1510,17.58
"FAST","Fastenal Company - Common Stock","Y",29090,572.45
"FAT","FAT Brands Inc. - Common Stock","Y",98.89,11.01
"FATBP","FAT Brands Inc. - 8.25% Series B Cumulative Preferred Stock","Y",NA,NA
"FATE","Fate Therapeutics, Inc. - Common Stock","Y",7770,79.65
"FB","Facebook, Inc. - Class A Common Stock","Y",863470,2380
"FBIO","Fortress Biotech, Inc. - Common Stock","Y",406.05,66.45
"FBIOP","Fortress Biotech, Inc. - 9.375% Series A Cumulative Redeemable Perpetual Preferred Stock","Y",NA,NA
"FBIZ","First Business Financial Services, Inc. - Common Stock","Y",210.61,8.09
"FBMS","The First Bancshares, Inc. - Common Stock","Y",786.01,20.19
"FBNC","First Bancorp - Common Stock","Y",1210,27.93
"FBRX","Forte Biosciences, Inc.  - Common Stock","Y",482.9,9.92
"FBSS","Fauquier Bankshares, Inc. - Common Stock","Y",NA,NA
"FCAP","First Capital, Inc. - Common Stock","Y",154.18,3.22
"FCBC","First Community Bankshares, Inc. - Common Stock","Y",512.63,15.65
"FCBP","First Choice Bancorp - Common Stock","Y",289.98,9.82
"FCCO","First Community Corporation - Common Stock","Y",140.03,7.11
"FCCY","1st Constitution Bancorp (NJ) - Common Stock","Y",192.41,8.96
"FCEL","FuelCell Energy, Inc. - Common Stock","Y",2910,310.19
"FCFS","FirstCash, Inc. - Common Stock","Y",2810,39.81
"FCNCA","First Citizens BancShares, Inc. - Class A Common Stock","Y",8270,7.39
"FCNCP","First Citizens BancShares, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of 5.375% Non-Cumulative Perpetual Preferred Stock, Series A","Y",NA,4.93
"FCRD","First Eagle Alternative Capital BDC, Inc. - Common Stock","Y",129.17,NA
"FDBC","Fidelity D & D Bancorp, Inc. - Common Stock","Y",NA,NA
"FDUS","Fidus Investment Corporation - Common Stock","Y",407.37,NA
"FDUSZ","Fidus Investment Corporation - 6% Notes due 2024","Y",NA,NA
"FEIM","Frequency Electronics, Inc. - Common Stock","Y",104.05,7.24
"FELE","Franklin Electric Co., Inc. - Common Stock","Y",3720,38.67
"FENC","Fennec Pharmaceuticals Inc. - Common Stock","Y",166.95,21.47
"FEYE","FireEye, Inc. - Common Stock","Y",4930,224.46
"FFBC","First Financial Bancorp. - Common Stock","Y",2360,95.94
"FFBW","FFBW, Inc. - Common Stock","Y",81.65,1.85
"FFHL","Fuwei Films (Holdings) Co., Ltd. - ORDINARY SHARES","Y",31.13,1.13
"FFIC","Flushing Financial Corporation - Common Stock","Y",675.09,29.26
"FFIN","First Financial Bankshares, Inc. - Common Stock","Y",6600,135.95
"FFIV","F5 Networks, Inc. - Common Stock","Y",12840,61.41
"FFNW","First Financial Northwest, Inc. - Common Stock","Y",133.04,7.39
"FFWM","First Foundation Inc. - Common Stock","Y",1040,39.11
"FGBI","First Guaranty Bancshares, Inc. - Common Stock","Y",167.99,4.7
"FGEN","FibroGen, Inc - Common Stock","Y",1700,83.64
"FHB","First Hawaiian, Inc. - Common Stock","Y",3590,129.05
"FHTX","Foghorn Therapeutics Inc. - Common Stock","Y",406.14,19.32
"FIBK","First Interstate BancSystem, Inc. - Class A Common Stock","Y",2940,40.61
"FIII","Forum Merger III Corporation - Class A Common Stock","Y",316.38,18.39
"FISI","Financial Institutions, Inc. - Common Stock","Y",485.28,15.67
"FISV","Fiserv, Inc. - Common Stock","Y",83710,581.67
"FITB","Fifth Third Bancorp - Common Stock","Y",26810,710.07
"FITBI","Fifth Third Bancorp - Depositary Share repstg 1/1000th Ownership Interest Perp Pfd Series I","Y",NA,NA
"FITBO","Fifth Third Bancorp - Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock, Series K","Y",NA,NA
"FITBP","Fifth Third Bancorp - Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual Class B Preferred Stock, Series A","Y",NA,NA
"FIVE","Five Below, Inc. - Common Stock","Y",10660,54.51
"FIVN","Five9, Inc. - Common Stock","Y",11780,65.3
"FIXX","Homology Medicines, Inc. - Common Stock","Y",379.85,37.84
"FIZZ","National Beverage Corp. - Common Stock","Y",4860,18.01
"FLDM","Fluidigm Corporation - Common Stock","Y",347.73,73.61
"FLEX","Flex Ltd. - Ordinary Shares","Y",9100,495.88
"FLGT","Fulgent Genetics, Inc. - Common Stock","Y",2480,14.29
"FLIC","The First of Long Island Corporation - Common Stock","Y",509.07,22.63
"FLIR","FLIR Systems, Inc. - Common Stock","Y",7680,129.92
"FLL","Full House Resorts, Inc. - Common Stock","Y",289,24.41
"FLMN","Falcon Minerals Corporation - Class A Common Stock","Y",390.98,35.07
"FLNT","Fluent, Inc. - Common Stock","Y",299.24,41.18
"FLUX","Flux Power Holdings, Inc. - Common Stock","Y",134.99,8.02
"FLWS","1-800-FLOWERS.COM, Inc. - Class A Common Stock","Y",1600,24.56
"FLXN","Flexion Therapeutics, Inc. - Common Stock","Y",449.48,46.06
"FLXS","Flexsteel Industries, Inc. - Common Stock","Y",264.46,6.59
"FMAO","Farmers & Merchants Bancorp, Inc. - Common Stock","Y",268.51,10.03
"FMBH","First Mid Bancshares, Inc. - Common Stock","Y",772.66,14.53
"FMBI","First Midwest Bancorp, Inc. - Common Stock","Y",2460,113.23
"FMBIO","First Midwest Bancorp, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series C","Y",NA,NA
"FMBIP","First Midwest Bancorp, Inc. - Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series A","Y",NA,NA
"FMNB","Farmers National Banc Corp. - Common Stock","Y",474.1,25.83
"FMTX","Forma Therapeutics Holdings, Inc. - Common Stock","Y",1310,40.36
"FNCB","FNCB Bancorp Inc. - Common Stock","Y",142.1,17
"FNHC","FedNat Holding Company - Common Stock","Y",80.77,9.56
"FNKO","Funko, Inc. - Class A Common Stock","Y",1060,18.66
"FNLC","First Bancorp, Inc (ME) - Common Stock","Y",317.66,10.32
"FNWB","First Northwest Bancorp - Common Stock","Y",169.27,8.11
"FOCS","Focus Financial Partners Inc. - Common Stock","Y",3120,33.64
"FOLD","Amicus Therapeutics, Inc. - Common Stock","Y",2720,234.32
"FONR","Fonar Corporation - Common Stock","Y",116.24,5.97
"FORD","Forward Industries, Inc. - Common Stock","Y",27.4,6.37
"FORK","Fuling Global Inc. - Ordinary Shares","Y",NA,NA
"FORM","FormFactor, Inc. - Common Stock","Y",3720,76.76
"FORR","Forrester Research, Inc. - Common Stock","Y",821.75,11.03
"FORTY","Formula Systems (1985) Ltd. - American Depositary Shares","Y",1350,8.87
"FOSL","Fossil Group, Inc. - Common Stock","Y",652.73,43.97
"FOX","Fox Corporation - Class B Common Stock","Y",21480,480.74
"FOXA","Fox Corporation - Class A Common Stock","Y",21930,481.31
"FOXF","Fox Factory Holding Corp. - Common Stock","Y",5800,41.54
"FPAY","FlexShopper, Inc. - Common Stock","Y",48.28,14.65
"FPRX","Five Prime Therapeutics, Inc. - Common Stock","Y",1770,26.05
"FRAF","Franklin Financial Services Corporation - Common Stock","Y",NA,NA
"FRAN","Francesca's Holdings Corporation - Common Stock","Y",NA,NA
"FRBA","First Bank - Common Stock","Y",225.01,15.8
"FRBK","Republic First Bancorp, Inc. - Common Stock","Y",217.23,47.63
"FREE","Whole Earth Brands, Inc. - Class A Common Stock","Y",529.81,35.22
"FREQ","Frequency Therapeutics, Inc. - Common Stock","Y",328.95,26.29
"FRG","Franchise Group, Inc. - Common Stock","Y",1460,26.11
"FRGAP","Franchise Group, Inc. - 7.50% Series A Cumulative Perpetual Preferred Stock","Y",NA,NA
"FRGI","Fiesta Restaurant Group, Inc. - Common Stock","Y",351.38,24.68
"FRHC","Freedom Holding Corp. - Common Stock","Y",2860,15.92
"FRLN","Freeline Therapeutics Holdings plc - ADSs","Y",439.14,14.07
"FRME","First Merchants Corporation - Common Stock","Y",2520,53.54
"FROG","JFrog Ltd. - Ordinary shares","Y",4660,60.07
"FRPH","FRP Holdings, Inc. - Common Stock","Y",481.24,6
"FRPT","Freshpet, Inc. - Common Stock","Y",7710,39
"FRSX","Foresight Autonomous Holdings Ltd. - American Depositary Shares","Y",281.01,NA
"FRTA","Forterra, Inc. - Common Stock","Y",1560,29.2
"FSBW","FS Bancorp, Inc. - Common Stock","Y",278.8,3.7
"FSDC","FS Development Corp. - Class A Common Stock","Y",NA,NA
"FSEA","First Seacoast Bancorp - Common Stock","Y",NA,NA
"FSFG","First Savings Financial Group, Inc. - Common Stock","Y",162.09,1.8
"FSLR","First Solar, Inc. - Common Stock","Y",8210,93.32
"FSRV","FinServ Acquisition Corp. - Class A Common Stock","Y",416.88,25.66
"FSTR","L.B. Foster Company - Common Stock","Y",181.92,9.93
"FSV","FirstService Corporation - Common Shares","Y",7130,34.31
"FTDR","frontdoor, inc. - Common Stock","Y",4780,85.35
"FTEK","Fuel Tech, Inc. - Common Stock","Y",65.42,17.97
"FTFT","Future FinTech Group Inc. - Common Stock","Y",229.47,28.03
"FTHM","Fathom Holdings Inc. - Common Stock","Y",435.11,5.13
"FTNT","Fortinet, Inc. - Common Stock","Y",33560,132.45
"FTOC","FTAC Olympus Acquisition Corp. - Class A Ordinary Shares","Y",998.72,77.64
"FULC","Fulcrum Therapeutics, Inc. - Common Stock","Y",383.07,22.33
"FULT","Fulton Financial Corporation - Common Stock","Y",2760,160.8
"FUNC","First United Corporation - Common Stock","Y",117.06,6.28
"FUND","Sprott Focus Trust, Inc. - Closed End Fund","Y",242.04,NA
"FUSB","First US Bancshares, Inc. - Common Stock","Y",NA,NA
"FUSN","Fusion Pharmaceuticals Inc. - Common Shares","Y",374.89,31.88
"FUTU","Futu Holdings Limited - American Depositary Shares","Y",24420,48.6
"FUV","Arcimoto, Inc. - Common Stock","Y",358.72,26.21
"FVAM","5:01 Acquisition Corp. - Class A Common Stock","Y",108.83,6.56
"FVCB","FVCBankcorp, Inc. - Common Stock","Y",248.62,10.95
"FVE","Five Star Senior Living Inc. - Common Shares","Y",154.26,10.45
"FWONA","Liberty Media Corporation - Series A Liberty Formula One Common Stock","Y",27650,205.87
"FWONK","Liberty Media Corporation - Series C Liberty Formula One Common Stock","Y",9350,NA
"FWP","Forward Pharma A/S - American Depositary Shares","Y",48.49,0.48
"FWRD","Forward Air Corporation - Common Stock","Y",2410,27.18
"FXNC","First National Corporation - Common Stock","Y",NA,NA
"GABC","German American Bancorp, Inc. - Common Stock","Y",1210,24.48
"GAIA","Gaia, Inc. - Class A Common Stock","Y",205.84,12.35
"GAIN","Gladstone Investment Corporation - Business Development Company","Y",468.19,NA
"GAINL","Gladstone Investment Corporation - 6.375% Series E Cumulative Term Preferred Stock due 2025","Y",NA,NA
"GAINM","Gladstone Investment Corporation - 6.25% Series D Cumulative Term Preferred Stock","Y",NA,NA
"GALT","Galectin Therapeutics Inc. - Common Stock","Y",161.85,40.56
"GAN","GAN Limited - Ordinary Shares","Y",724.95,26.33
"GARS","Garrison Capital Inc. - Common Stock","Y",NA,NA
"GASS","StealthGas, Inc. - common stock","Y",104.5,30.03
"GBCI","Glacier Bancorp, Inc. - Common Stock","Y",5610,94.81
"GBDC","Golub Capital BDC, Inc. - Common Stock","Y",2580,NA
"GBIO","Generation Bio Co. - Common stock","Y",1580,35.85
"GBLI","Global Indemnity Group, LLC - Class A Common Stock","Y",409.53,8.57
"GBLIL","Global Indemnity Group, LLC - 7.875% Subordinated Notes due 2047","Y",NA,NA
"GBT","Global Blood Therapeutics, Inc. - Common Stock","Y",2570,54.84
"GCBC","Greene County Bancorp, Inc. - Common Stock","Y",221,3.29
"GDEN","Golden Entertainment, Inc. - Common Stock","Y",835.92,18.02
"GDRX","GoodRx Holdings, Inc. - Class A Common Stock","Y",15030,41.09
"GDS","GDS Holdings Limited - American Depositary Shares","Y",14610,102.03
"GDYN","Grid Dynamics Holdings, Inc. - Class A Common Stock","Y",776.5,23.78
"GEC","Great Elm Capital Group, Inc.  - Common Stock","Y",NA,NA
