"Symbol","Security.Name","Data","Cap","Float"
"AGNCN","AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock","Y",NA,NA
"AGNCO","AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock","Y",NA,NA
"AGNCP","AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","Y",NA,NA
"AGRX","Agile Therapeutics, Inc. - Common Stock","Y",160.31,67.1
"AGTC","Applied Genetic Technologies Corporation - Common Stock","Y",164.08,36.27
"AGYS","Agilysys, Inc. - Common Stock","Y",1150,21.84
"AHCO","AdaptHealth Corp.  - Class A Common Stock","Y",3180,36.15
"AHPI","Allied Healthcare Products, Inc. - Common Stock","Y",18.38,2.81
"AIH","Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares","Y",127.2,23.61
"AIHS","Senmiao Technology Limited - Common Stock","Y",63.54,34.93
"AIKI","AIkido Pharma Inc. - Common Stock","Y",78.93,32.96
"AIMC","Altra Industrial Motion Corp. - Common Stock","Y",4040,64.01
"AINV","Apollo Investment Corporation - Closed End Fund","Y",920.26,64.93
"AIRG","Airgain, Inc. - Common Stock","Y",213.09,9.11
"AIRT","Air T, Inc. - Common Stock","Y",63.87,1.53
"AIRTP","Air T, Inc. - Trust Preferred Securities","Y",NA,NA
"AKAM","Akamai Technologies, Inc. - Common Stock","Y",17240,159.32
"AKBA","Akebia Therapeutics, Inc. - Common Stock","Y",452.24,142.95
"AKER","Akers Biosciences Inc. - Common Stock","Y",45.5,7.45
"AKRO","Akero Therapeutics, Inc. - Common Stock","Y",950.51,29.75
"AKTS","Akoustis Technologies, Inc. - Common Stock","Y",552.1,37.95
"AKTX","Akari Therapeutics Plc - American Depositary Shares","Y",92.17,18.16
"AKU","Akumin Inc. - Common Shares","Y",NA,NA
"AKUS","Akouos, Inc. - Common Stock","Y",552.9,33.21
"ALAC","Alberton Acquisition Corporation - Ordinary Shares","Y",50.91,1.44
"ALBO","Albireo Pharma, Inc. - Common Stock","Y",634.97,16.06
"ALCO","Alico, Inc. - Common Stock","Y",220.13,4.4
"ALDX","Aldeyra Therapeutics, Inc. - Common Stock","Y",531.59,38.28
"ALEC","Alector, Inc. - Common Stock","Y",1470,69.09
"ALGN","Align Technology, Inc. - Common Stock","Y",47770,72.61
"ALGS","Aligos Therapeutics, Inc. - Common stock","Y",847.81,28.02
"ALGT","Allegiant Travel Company - Common Stock","Y",4080,13.61
"ALIM","Alimera Sciences, Inc. - Common Stock","Y",58.47,5.31
"ALJJ","ALJ Regional Holdings, Inc. - Common Stock","Y",58.77,18.34
"ALKS","Alkermes plc - Ordinary Shares","Y",3180,157.66
"ALLK","Allakos Inc. - Common Stock","Y",5820,47.08
"ALLO","Allogene Therapeutics, Inc. - Common Stock","Y",4600,70.29
"ALLT","Allot Ltd. - Ordinary Shares","Y",597.19,33.33
"ALNA","Allena Pharmaceuticals, Inc. - Common Stock","Y",64.22,43.85
"ALNY","Alnylam Pharmaceuticals, Inc. - Common Stock","Y",16140,116.04
"ALOT","AstroNova, Inc. - Common Stock","Y",114.29,6.84
"ALPN","Alpine Immune Sciences, Inc. - Common Stock","Y",268.41,17.06
"ALRM","Alarm.com Holdings, Inc. - Common Stock","Y",4560,44.5
"ALRN","Aileron Therapeutics, Inc. - Common Stock","Y",103.85,80.02
"ALRS","Alerus Financial Corporation - Common Stock","Y",528.08,14.69
"ALSK","Alaska Communications Systems Group, Inc. - Common Stock","Y",178.53,50.26
"ALT","Altimmune, Inc. - Common Stock","Y",454,30.93
"ALTA","Altabancorp - Common Stock","Y",800.87,11.45
"ALTM","Altus Midstream Company - Class A Common Stock","Y",887.63,3.65
"ALTR","Altair Engineering Inc. - Class A Common Stock","Y",4620,42.81
"ALVR","AlloVir, Inc. - Common Stock","Y",1500,27.46
"ALXN","Alexion Pharmaceuticals, Inc. - Common Stock","Y",35180,218.93
"ALXO","ALX Oncology Holdings Inc. - Common Stock","Y",2250,17.02
"ALYA","Alithya Group inc. - Class A subordinate voting shares","Y",167,44.12
"AMAG","AMAG Pharmaceuticals, Inc. - Common Stock","Y",NA,NA
"AMAL","Amalgamated Bank - Class A Common Stock","Y",520.91,29.56
"AMAT","Applied Materials, Inc. - Common Stock","Y",120720,910.99
"AMBA","Ambarella, Inc. - Ordinary Shares","Y",3640,33.54
"AMCI","AMCI Acquisition Corp. - Class A Common Stock","Y",NA,NA
"AMCX","AMC Networks Inc. - Class A Common Stock","Y",2120,27.64
"AMD","Advanced Micro Devices, Inc. - Common Stock","Y",99550,1200
"AMED","Amedisys Inc - Common Stock","Y",9270,31.71
