"date","open","high","low","close"
"2018-01-02",141.289993,142.270004,141.050003,142.25
"2018-01-03",142.399994,143.660004,142.399994,143.580002
"2018-01-04",144.070007,144.300003,143.850006,143.970001
"2018-01-05",144.369995,145.240005,144.289993,145.179993
"2018-01-08",145.119995,145.729996,145.080002,145.649994
"2018-01-09",145.860001,146.220001,145.529999,145.949997
"2018-01-10",145.410004,145.610001,144.789993,145.559998
"2018-01-11",145.929993,146.630005,145.649994,146.610001
"2018-01-12",146.669998,147.610001,146.539993,147.460007
"2018-01-16",148.229996,148.740005,146.550003,146.929993
"2018-01-17",147.639999,148.619995,147.139999,148.399994
"2018-01-18",148.380005,148.639999,147.869995,148.279999
"2018-01-19",148.759995,149.149994,148.389999,149.149994
"2018-01-22",149.050003,150.410004,149.009995,150.410004
"2018-01-23",150.679993,151.369995,150.570007,151.229996
"2018-01-24",151.539993,151.720001,150,150.770004
"2018-01-25",151.369995,151.369995,150.160004,150.619995
"2018-01-26",151.190002,152.380005,150.770004,152.380005
"2018-01-29",152.039993,152.220001,151.070007,151.240005
"2018-01-30",150.070007,150.600006,149.460007,149.990005
"2018-01-31",150.649994,151.050003,149.649994,150.25
"2018-02-01",149.649994,150.649994,149.229996,149.669998
"2018-02-02",148.830002,149.130005,146.639999,146.649994
"2018-02-05",145.470001,147.270004,140.800003,140.800003
"2018-02-06",138.610001,144.259995,137.910004,143.990005
"2018-02-07",143.75,145.410004,142.860001,142.860001
"2018-02-08",143.169998,143.490005,137.369995,137.460007
"2018-02-09",138.839996,140.389999,134.600006,139.410004
"2018-02-12",140.740005,142.389999,139.610001,141.580002
"2018-02-13",140.910004,142.270004,140.669998,141.979996
"2018-02-14",141.089996,144.320007,141.009995,144.169998
"2018-02-15",145.25,146.279999,143.759995,146.279999
"2018-02-16",145.889999,147.259995,145.809998,146.160004
"2018-02-20",145.639999,146.979996,145.210007,145.610001
"2018-02-21",146.020004,147.600006,145.080002,145.089996
"2018-02-22",145.690002,146.529999,144.869995,145.25
"2018-02-23",146.110001,147.699997,145.740005,147.699997
"2018-02-26",148.339996,149.320007,147.970001,149.279999
"2018-02-27",149.25,149.460007,147.149994,147.149994
"2018-02-28",147.800003,148.210007,145.830002,145.860001
"2018-03-01",146.009995,146.639999,142.830002,143.919998
"2018-03-02",142.610001,145.119995,142.119995,144.860001
"2018-03-05",144.110001,146.789993,143.949997,146.479996
"2018-03-06",147.139999,147.229996,146.190002,147.110001
"2018-03-07",145.869995,147.559998,145.740005,147.360001
"2018-03-08",147.809998,148.330002,147.429993,148.270004
"2018-03-09",149.190002,150.919998,149.020004,150.889999
"2018-03-12",151.179993,151.600006,150.800003,151.110001
"2018-03-13",151.889999,152.149994,149.679993,150.050003
"2018-03-14",150.660004,150.759995,149.229996,149.619995
"2018-03-15",149.929993,150.259995,148.979996,149.389999
"2018-03-16",149.619995,149.949997,149.289993,149.289993
"2018-03-19",148.520004,148.520004,145.860001,146.929993
"2018-03-20",147.190002,147.850006,146.830002,147.580002
"2018-03-21",147.550003,148.600006,146.800003,147.130005
"2018-03-22",145.179993,145.759995,142.929993,143.059998
"2018-03-23",143.279999,143.440002,139.889999,140
"2018-03-26",142.190002,143.949997,140.220001,143.820007
"2018-03-27",144.320007,144.399994,139.449997,140.380005
"2018-03-28",140.240005,141.130005,138.75,139.600006
"2018-03-29",140.25,142.990005,139.630005,141.880005
"2018-04-02",141.25,141.550003,137.009995,138.399994
"2018-04-03",139.339996,140.339996,137.800003,139.970001
